时间,沪深300:成交金额
2009-05-05,1126.418861
2009-05-06,1182.320799
2009-05-07,1369.658251
2009-05-08,1208.731727
2009-05-11,1404.557499
2009-05-12,934.214583
2009-05-13,1236.379576
2009-05-14,961.561009
2009-05-15,749.730351
2009-05-18,884.790916
2009-05-19,1165.431894
2009-05-20,1051.461637
2009-05-21,1028.758282
2009-05-22,744.071987
2009-05-25,910.488161
2009-05-26,888.948957
2009-05-27,786.022461
2009-06-01,1329.677781
2009-06-02,1301.31778
2009-06-03,1316.065864
2009-06-04,1537.707418
2009-06-05,1313.479844
2009-06-08,1145.389351
2009-06-09,1087.474156
2009-06-10,1164.55491
2009-06-11,1018.90292
2009-06-12,921.355596
2009-06-15,926.896348
2009-06-16,899.283872
2009-06-17,999.455274
2009-06-18,1227.771177
2009-06-19,1194.34479
2009-06-22,1226.851005
2009-06-23,1270.947837
2009-06-24,1324.311676
2009-06-25,1077.065879
2009-06-26,886.634971
2009-06-29,1075.39212
2009-06-30,1189.261404
2009-07-01,1298.306997
2009-07-02,1525.945708
2009-07-03,1425.313518
2009-07-06,1758.573532
2009-07-07,1604.505934
2009-07-08,1473.030523
2009-07-09,1482.495443
2009-07-10,1407.458503
2009-07-13,1323.010212
2009-07-14,1432.581639
2009-07-15,1767.73125
2009-07-16,1789.743183
2009-07-17,1461.402733
2009-07-20,1896.895384
2009-07-21,1849.348393
2009-07-22,1688.777108
2009-07-23,1609.803729
2009-07-24,1822.051226
2009-07-27,2008.24102
2009-07-28,2104.794219
2009-07-29,2265.602687
2009-07-30,1854.937843
2009-07-31,1844.318829
2009-08-03,1984.408985
2009-08-04,2051.341181
2009-08-05,1940.121311
2009-08-06,1784.064158
2009-08-07,1486.560815
2009-08-10,1265.649287
2009-08-11,953.189206
2009-08-12,1318.67959
2009-08-13,1235.840666
2009-08-14,1265.732458
2009-08-17,1212.427213
2009-08-18,1006.912712
2009-08-19,1047.787449
2009-08-20,1076.563226
2009-08-21,1139.107835
2009-08-24,1109.079237
2009-08-25,1284.461209
2009-08-26,1097.924688
2009-08-27,1036.046084
2009-08-28,1087.872769
2009-08-31,1055.68316
2009-09-01,877.432142
2009-09-02,762.931929
2009-09-03,1188.213883
2009-09-04,1161.816656
2009-09-07,1138.131927
2009-09-08,1179.693336
2009-09-09,1318.137024
