时间,沪深300指数:涨跌幅
2005-07-25,-0.329536
2005-07-26,2.289756
2005-07-27,2.000274
2005-07-28,-0.349772
2005-07-29,-0.305427
2005-08-01,0.387654
2005-08-02,1.344875
2005-08-03,0.660913
2005-08-04,-0.595886
2005-08-05,2.173644
2005-08-08,0.397054
2005-08-09,0.605733
2005-08-10,0.780311
2005-08-11,1.448579
2005-08-12,-1.6432
2005-08-15,1.725005
2005-08-16,-0.989416
2005-08-17,0.841641
2005-08-18,-3.393556
2005-08-19,0.257095
2005-08-22,0.935498
2005-08-23,-0.88647
2005-08-24,0.783722
2005-08-25,-0.057272
2005-08-26,-0.199975
2005-08-29,-1.172842
2005-08-30,-0.271537
2005-08-31,1.424886
2005-09-01,1.793589
2005-09-02,0.35064
2005-09-05,0.511251
2005-09-06,-1.690638
2005-09-07,1.72409
2005-09-08,0.264915
2005-09-09,-0.650803
2005-09-12,0.046467
2005-09-13,1.502676
2005-09-14,0.666028
2005-09-15,-0.061328
2005-09-16,-0.216894
2005-09-19,0.376333
2005-09-20,-0.949095
2005-09-21,-1.820424
2005-09-22,-2.237804
2005-09-23,-0.771169
2005-09-26,0.254433
2005-09-27,-1.553754
2005-09-28,-0.054744
2005-09-29,1.356174
2005-09-30,0.154699
2005-10-10,-1.097786
2005-10-11,1.366551
2005-10-12,0.409364
2005-10-13,-0.756482
2005-10-14,-1.273433
2005-10-17,-0.796284
2005-10-18,0.528396
2005-10-19,-0.401389
2005-10-20,0.130293
2005-10-21,0.499936
2005-10-24,0.247453
2005-10-25,-1.365463
2005-10-26,-2.063354
2005-10-27,0.003311
2005-10-28,-0.9271
2005-10-31,0.985676
2005-11-01,-0.389943
2005-11-02,1.101316
2005-11-03,-0.895546
2005-11-04,0.432896
2005-11-07,-0.123298
2005-11-08,0.483997
2005-11-09,-0.257735
2005-11-10,-1.852029
2005-11-11,0.211132
2005-11-14,-0.305392
2005-11-15,-0.639565
2005-11-16,0.756915
2005-11-17,-0.053411
2005-11-18,2.270077
2005-11-21,0.184757
2005-11-22,-1.612679
2005-11-23,0.760335
