时间,中国:沪深300:资金净主动买入额
2013-06-24,-75.564768
2013-06-25,-13.410121
2013-06-26,-20.718465
2013-06-27,-21.180669
2013-06-28,34.80787
2013-07-01,6.450576
2013-07-02,7.95883
2013-07-03,-19.805984
2013-07-04,12.362306
2013-07-05,-10.03888
2013-07-08,-38.916654
2013-07-09,-6.939801
2013-07-10,43.27601
2013-07-11,105.116808
2013-07-12,-54.580112
2013-07-15,10.855128
2013-07-16,-14.703301
2013-07-17,-45.071637
2013-07-18,-44.852877
2013-07-19,-65.346887
2013-07-22,4.197693
2013-07-23,46.373286
2013-07-24,-38.65117
2013-07-25,-27.580249
2013-07-26,-26.600977
2013-07-29,-50.647736
2013-07-30,8.787687
2013-07-31,-21.785729
2013-08-01,54.064129
2013-08-02,-5.620823
2013-08-05,38.197941
2013-08-06,27.56603
2013-08-07,-22.225123
2013-08-08,-16.823314
2013-08-09,-4.004464
2013-08-12,108.38647
2013-08-13,-11.192789
2013-08-14,-23.640001
2013-08-15,-54.221904
2013-08-16,-4.900779
2013-08-19,28.563481
2013-08-20,-45.700422
2013-08-21,-16.616207
2013-08-22,-30.114936
2013-08-23,-44.895997
2013-08-26,59.780376
2013-08-27,-14.209036
2013-08-28,-9.428051
2013-08-29,-54.339969
2013-08-30,-26.088875
2013-09-02,1.812713
2013-09-03,36.192957
2013-09-04,-24.494047
2013-09-05,-30.486907
2013-09-06,9.826257
2013-09-09,82.933652
2013-09-10,41.322916
2013-09-11,-13.539458
2013-09-12,20.59043
2013-09-13,-46.036248
2013-09-16,-28.269105
2013-09-17,-86.666915
2013-09-18,1.581341
2013-09-23,28.247693
2013-09-24,-58.728107
2013-09-25,-41.582844
2013-09-26,-77.041193
2013-09-27,-10.072445
2013-09-30,-12.025516
2013-10-08,19.163719
2013-10-09,-8.471726
2013-10-10,-60.804631
2013-10-11,44.059983
2013-10-14,-28.016338
2013-10-15,-40.601661
2013-10-16,-77.076485
2013-10-17,-36.655963
2013-10-18,0.2737
2013-10-21,41.472822
2013-10-22,-62.924323
2013-10-23,-49.80835
2013-10-24,-30.156382
2013-10-25,-60.183301
2013-10-28,-14.705297
2013-10-29,-3.860008
2013-10-30,34.531472
2013-10-31,-40.457941
2013-11-01,17.366451
2013-11-04,-22.073679
2013-11-05,3.409225
2013-11-06,-35.962461
2013-11-07,-20.504609
2013-11-08,-42.23553
2013-11-11,0.869496
2013-11-12,17.79184
2013-11-13,-54.515071
2013-11-14,12.168805
2013-11-15,48.754932
