时间,沪深300:成交量
2009-07-15,133.483002
2009-07-16,129.313329
2009-07-17,106.549704
2009-07-20,136.468539
2009-07-21,130.600961
2009-07-22,115.238546
2009-07-23,116.381609
2009-07-24,127.979352
2009-07-27,138.80804
2009-07-28,146.267885
2009-07-29,167.406126
2009-07-30,134.968879
2009-07-31,132.239834
2009-08-03,136.415899
2009-08-04,141.035739
2009-08-05,133.444453
2009-08-06,118.101525
2009-08-07,100.575751
2009-08-10,84.870681
2009-08-11,64.497197
2009-08-12,92.535386
2009-08-13,87.0818
2009-08-14,88.248627
2009-08-17,91.723902
2009-08-18,77.343035
2009-08-19,81.60402
2009-08-20,79.519216
2009-08-21,86.616805
2009-08-24,80.414068
2009-08-25,97.530139
2009-08-26,82.036404
2009-08-27,80.125201
2009-08-28,84.017946
2009-08-31,84.517311
2009-09-01,70.535306
2009-09-02,60.843386
2009-09-03,93.157447
2009-09-04,86.984715
2009-09-07,82.79074
2009-09-08,83.965634
2009-09-09,91.191155
2009-09-10,66.566007
2009-09-11,80.68966
2009-09-14,87.393883
2009-09-15,87.092177
2009-09-16,88.244481
2009-09-17,91.333404
2009-09-18,100.488404
2009-09-21,72.801974
2009-09-22,73.425101
2009-09-23,66.013716
2009-09-24,65.152102
2009-09-25,45.820492
2009-09-28,41.918352
2009-09-29,45.932352
2009-09-30,42.184524
2009-10-09,56.87104
2009-10-12,58.96196
2009-10-13,50.713704
2009-10-14,80.97812
2009-10-15,60.56201
2009-10-16,55.636255
